title,slug,description,externalUrl,videoUrl,slidesUrl,keyAssetUrl,transcriptUrl,hub,format,type,tags\
Gladly vs. Zendesk Battlecard,gladly-vs-zendesk-battlecard,"Detailed comparison of Gladly vs. Zendesk, focusing on ""People vs. Tickets"".",https://docs.google.com/presentation/d/1WxYzAbCdEfGhIjKlMnOpQrStUv/edit?usp=sharing,,,,,Content,document,battlecard,sales|zendesk|gladly|Competitive Intel\
Integration Guide: Shopify,integration-guide-shopify,Technical guide for integrating Gladly with Shopify stores.,https://help.gladly.com/docs/shopify-integration,,,,,CoE,link,guide,impl|tech-partners|gladly|Integrations\
Internal Newsletter Q4,internal-newsletter-q4,"Quarterly internal newsletter highlighting team wins, new hires, and upcoming events.",https://docs.google.com/document/d/1YzAbCdEfGhIjKlMnOpQrStUvWx/edit?usp=sharing,,,,,CoE,document,newsletter,all-company|gladly|Internal Comms\
Kustomer Competitive Analysis,kustomer-competitive-analysis,In-depth analysis of Kustomer's platform strengths and weaknesses.,https://docs.google.com/document/d/1AbCdEfGhIjKlMnOpQrStUvWxYz/edit?usp=sharing,,,,,Content,document,report,sales|product|kustomer|gladly|Competitive Intel\
Logo Pack,logo-pack,"Zip file containing Gladly logos in various formats (PNG, SVG, EPS).",https://drive.google.com/drive/folders/1BcDeFgHiJkLmNoPqRsTuVwXyZ0?usp=sharing,,,,,CoE,folder,asset,marketing|gladly|Brand Assets\
Marketing H1 Roadmap,marketing-h1-roadmap,Strategic roadmap for Marketing initiatives in the first half of the year.,https://docs.google.com/presentation/d/1CdEfGhIjKlMnOpQrStUvWxYzAb/edit?usp=sharing,,,,,CoE,document,presentation,marketing|gladly|Roadmaps\
Meeting Recording: Product Sync,meeting-recording-product-sync,Recording of the weekly Product team sync.,,https://drive.google.com/file/d/1EfGhIjKlMnOpQrStUvWxYzAbCd/view?usp=sharing,,,,CoE,video,meeting-recording,product|gladly|Meeting Recordings\
New Hire Checklist,new-hire-checklist,Checklist for new employees to complete during their first week.,https://docs.google.com/document/d/1GhIjKlMnOpQrStUvWxYzAbCdEf/edit?usp=sharing,,,,,CoE,document,checklist,hr|all-company|gladly|Onboarding\
Partner Program Overview,partner-program-overview,Overview of the Gladly Partner Program benefits and requirements.,https://docs.google.com/presentation/d/1IjKlMnOpQrStUvWxYzAbCdEfGh/edit?usp=sharing,,,,,Content,document,presentation,partners|sales|gladly|Partner Resources\
Pricing Calculator 2024,pricing-calculator-2024,Spreadsheet for calculating customer pricing quotes based on 2024 pricing model.,https://docs.google.com/spreadsheets/d/1KlMnOpQrStUvWxYzAbCdEfGhIj/edit?usp=sharing,,,,,CoE,tool,calculator,sales|finance|gladly|Sales Tools\
Product FAQ,product-faq,Frequently asked questions about Gladly's product features.,https://help.gladly.com/docs/product-faq,,,,,Enablement,link,faq,sales|support|gladly|Product Knowledge\
Quarterly Business Review Template,quarterly-business-review-template,Template for conducting QBRs with existing customers.,https://docs.google.com/presentation/d/1MnOpQrStUvWxYzAbCdEfGhIjKl/edit?usp=sharing,,,,,Content,document,template,csm|sales|gladly|Customer Success\
Sales Kickoff 2024 Keynote,sales-kickoff-2024-keynote,Keynote presentation from SKO 2024.,https://docs.google.com/presentation/d/1OpQrStUvWxYzAbCdEfGhIjKlMn/edit?usp=sharing,,,,,Content,document,presentation,sales|gladly|SKO Assets\
Security Compliance Whitepaper,security-compliance-whitepaper,"Whitepaper detailing Gladly's security certifications (SOC2, HIPAA, etc.).",https://gladly.com/security,,,,,Content,link,whitepaper,sales|legal|gladly|Security & Compliance\
Slack Etiquette Guide,slack-etiquette-guide,Guidelines for using Slack effectively and respectfully within the company.,https://docs.google.com/document/d/1QrStUvWxYzAbCdEfGhIjKlMnO/edit?usp=sharing,,,,,CoE,document,guide,all-company|gladly|Internal Comms\
Social Media Policy,social-media-policy,Policy regarding employee use of social media.,https://docs.google.com/document/d/1StUvWxYzAbCdEfGhIjKlMnOpQr/edit?usp=sharing,,,,,CoE,document,policy,hr|all-company|gladly|HR Policies\
Solution Engineering Handbook,solution-engineering-handbook,"Handbook for Solution Engineers, covering demo best practices and technical resources.",https://docs.google.com/document/d/1UvWxYzAbCdEfGhIjKlMnOpQrSt/edit?usp=sharing,,,,,Enablement,document,guide,sc|gladly|Role-Specific Guides\
Support Process Flowchart,support-process-flowchart,Visual flowchart of the customer support escalation process.,https://drive.google.com/file/d/1WxYzAbCdEfGhIjKlMnOpQrStUv/view?usp=sharing,,,,,CoE,image,diagram,support|gladly|Process Docs\
Tech Stack Overview,tech-stack-overview,Overview of the internal tools and software used at Gladly.,https://docs.google.com/document/d/1XyZqQ1fI0kL8rB7pT3o9hV5uS4x2j6mN/edit?usp=sharing,,,,,CoE,document,guide,it|all-company|gladly|IT Resources\
User Research Summary Q3,user-research-summary-q3,Summary of user research findings from Q3 2023.,https://docs.google.com/presentation/d/1YzAbCdEfGhIjKlMnOpQrStUvWx/edit?usp=sharing,,,,,CoE,document,report,product|design|gladly|Research\
Voice Feature Demo,voice-feature-demo,Video demonstration of Gladly's Voice features.,,https://drive.google.com/file/d/1AbCdEfGhIjKlMnOpQrStUvWxYz/view?usp=sharing,,,,Content,video,product-training,sales|product|gladly|Product Demos\
Weekly Sales Update,weekly-sales-update,Weekly email update for the Sales team.,https://docs.google.com/document/d/1BcDeFgHiJkLmNoPqRsTuVwXyZ0/edit?usp=sharing,,,,,Content,document,newsletter,sales|gladly|Sales Comms\
Year End Party Photos,year-end-party-photos,Link to the Google Photos album for the year-end party.,https://photos.google.com/share/...,,,,,CoE,link,gallery,all-company|gladly|Social
2024 Product Roadmap,2024-product-roadmap,Detailed roadmap for product development in 2024.,https://docs.google.com/spreadsheets/d/1aBcDeFgHiJkLmNoPqRsTuVwXyZ0/edit?usp=sharing,,,,,CoE,tool,roadmap,product|gladly|Roadmaps\
Customer Success Metrics Dashboard,customer-success-metrics-dashboard,"Live dashboard tracking key CS metrics like churn, expansion, and NPS.",https://tableau.gladly.com/views/CSMetrics,,,,,CoE,tool,dashboard,csm|leadership|gladly|Metrics\
Gladly API Documentation,gladly-api-documentation,Complete reference documentation for the Gladly API.,https://developer.gladly.com/,,,,,CoE,link,documentation,engineering|partners|gladly|Technical Docs\
Sales Playbook: Enterprise,sales-playbook-enterprise,Playbook for selling to Enterprise segment customers.,https://docs.google.com/document/d/1EfGhIjKlMnOpQrStUvWxYzAbCd/edit?usp=sharing,,,,,Enablement,document,playbook,sales|gladly|Sales Playbooks\
Marketing Brand Assets,marketing-brand-assets,Folder containing various marketing brand assets.,https://drive.google.com/drive/folders/1GhIjKlMnOpQrStUvWxYzAbCdEf?usp=sharing,,,,,CoE,folder,asset,marketing|gladly|Brand Assets\
Customer Feedback Survey Q4,customer-feedback-survey-q4,Survey results from the Q4 customer feedback round.,https://docs.google.com/spreadsheets/d/1IjKlMnOpQrStUvWxYzAbCdEfGh/edit?usp=sharing,,,,,CoE,tool,report,csm|product|gladly|Customer Feedback\
IT Security Policy,it-security-policy,Policy document outlining IT security procedures and requirements.,https://docs.google.com/document/d/1KlMnOpQrStUvWxYzAbCdEfGhIj/edit?usp=sharing,,,,,CoE,document,policy,it|all-company|gladly|IT Policies\
Q1 2024 OKRs,q1-2024-okrs,Objectives and Key Results for Q1 2024.,https://docs.google.com/spreadsheets/d/1MnOpQrStUvWxYzAbCdEfGhIjKl/edit?usp=sharing,,,,,CoE,tool,plan,leadership|all-company|gladly|OKRs\
Remote Work Guidelines,remote-work-guidelines,Guidelines and best practices for working remotely.,https://docs.google.com/document/d/1OpQrStUvWxYzAbCdEfGhIjKlMn/edit?usp=sharing,,,,,CoE,document,guide,hr|all-company|gladly|HR Policies\
Sales Objection Handling Guide,sales-objection-handling-guide,Guide for handling common sales objections.,https://docs.google.com/document/d/1QrStUvWxYzAbCdEfGhIjKlMnO/edit?usp=sharing,,,,,Enablement,document,guide,sales|gladly|Sales Training}
Case Study: Allbirds,case-study-allbirds,Case study detailing how Allbirds uses Gladly to deliver personalized customer service.,https://gladly.com/customers/allbirds/,,,,,Content,link,case-study,sales|marketing|gladly|Case Studies\
Competitor Battlecard: Sprinklr,competitor-battlecard-sprinklr,"Competitive battlecard for Sprinklr, highlighting their weaknesses in voice and traditional support channels.",https://docs.google.com/presentation/d/1aBcDeFgHiJkLmNoPqRsTuVwXyZ0/edit?usp=sharing,,,,,Content,document,battlecard,sales|sprinklr|gladly|Competitive Intel\
Customer Journey Map Template,customer-journey-map-template,Template for mapping out the customer journey and identifying key touchpoints.,https://docs.google.com/presentation/d/1EfGhIjKlMnOpQrStUvWxYzAbCd/edit?usp=sharing,,,,,CoE,document,template,csm|design|gladly|CX Tools\
Demo Environment Setup Guide,demo-environment-setup-guide,Step-by-step guide for setting up a new demo environment.,https://help.gladly.com/docs/demo-setup,,,,,Enablement,link,guide,sc|sales|gladly|Demo Assets\
Email Signature Template,email-signature-template,Standard email signature template for all employees.,https://docs.google.com/document/d/1GhIjKlMnOpQrStUvWxYzAbCdEf/edit?usp=sharing,,,,,CoE,document,template,all-company|gladly|Brand Assets\
Gladly for Retail Pitch Deck,gladly-for-retail-pitch-deck,Sales pitch deck specifically tailored for retail prospects.,https://docs.google.com/presentation/d/1IjKlMnOpQrStUvWxYzAbCdEfGh/edit?usp=sharing,,,,,Content,document,presentation,sales|retail|gladly|Vertical Decks\
Help Center Best Practices,help-center-best-practices,Best practices for designing and organizing a customer help center.,https://help.gladly.com/docs/help-center-best-practices,,,,,Enablement,link,guide,csm|impl|gladly|Best Practices\
Internal Org Chart,internal-org-chart,Visual organization chart of the company structure.,https://lucid.app/lucidchart/invitations/accept/inv_12345,,,,,CoE,link,diagram,hr|all-company|gladly|Internal Comms\
Lead Scoring Model,lead-scoring-model,Explanation of the lead scoring model used by Marketing and Sales.,https://docs.google.com/document/d/1KlMnOpQrStUvWxYzAbCdEfGhIj/edit?usp=sharing,,,,,CoE,document,guide,marketing|sales|gladly|Process Docs\
Mobile App User Guide,mobile-app-user-guide,User guide for the Gladly mobile app for agents.,https://help.gladly.com/docs/mobile-app,,,,,Enablement,link,guide,support|gladly|Product Knowledge\
Onboarding Plan: CSM,onboarding-plan-csm,30-60-90 day onboarding plan for new Customer Success Managers.,https://docs.google.com/document/d/1MnOpQrStUvWxYzAbCdEfGhIjKl/edit?usp=sharing,,,,,Enablement,document,plan,csm|hr|gladly|Onboarding\
Product Feature Request Process,product-feature-request-process,Process for submitting and tracking product feature requests.,https://docs.google.com/document/d/1OpQrStUvWxYzAbCdEfGhIjKlMn/edit?usp=sharing,,,,,CoE,document,process,product|sales|csm|gladly|Process Docs\
Q2 Marketing Campaign Plan,q2-marketing-campaign-plan,Detailed plan for the Q2 marketing campaigns.,https://docs.google.com/presentation/d/1QrStUvWxYzAbCdEfGhIjKlMnO/edit?usp=sharing,,,,,CoE,document,plan,marketing|gladly|Campaigns\
Sales Process Flow,sales-process-flow,Flowchart illustrating the end-to-end sales process.,https://drive.google.com/file/d/1StUvWxYzAbCdEfGhIjKlMnOpQr/view?usp=sharing,,,,,CoE,image,diagram,sales|gladly|Process Docs\
Service Level Agreement (SLA) Template,sla-template,Template for defining Service Level Agreements with customers.,https://docs.google.com/document/d/1UvWxYzAbCdEfGhIjKlMnOpQrSt/edit?usp=sharing,,,,,Content,document,template,legal|sales|gladly|Legal Docs\
Sidekick Implementation Guide,sidekick-implementation-guide,Technical guide for implementing the Sidekick feature.,https://help.gladly.com/docs/sidekick-implementation,,,,,CoE,link,guide,impl|gladly|Product Knowledge\
Slack Channel Directory,slack-channel-directory,Directory of public Slack channels and their purposes.,https://docs.google.com/spreadsheets/d/1WxYzAbCdEfGhIjKlMnOpQrStUv/edit?usp=sharing,,,,,CoE,tool,directory,all-company|gladly|Internal Comms\
Support Ticket Categorization,support-ticket-categorization,Guide on how to properly categorize support tickets.,https://docs.google.com/document/d/1XyZqQ1fI0kL8rB7pT3o9hV5uS4x2j6mN/edit?usp=sharing,,,,,CoE,document,guide,support|gladly|Process Docs\
Travel & Expense Policy,travel-expense-policy,Policy regarding business travel and expense reimbursement.,https://docs.google.com/document/d/1AbCdEfGhIjKlMnOpQrStUvWxYz/edit?usp=sharing,,,,,CoE,document,policy,finance|all-company|gladly|Finance Policies\
Video: A Day in the Life of an Agent,video-day-in-the-life-agent,Promotional video showing the daily workflow of an agent using Gladly.,,https://drive.google.com/file/d/1BcDeFgHiJkLmNoPqRsTuVwXyZ0/view?usp=sharing,,,,Content,video,demo,sales|marketing|gladly|Product Demos\
Weekly Product Update,weekly-product-update,Weekly email update from the Product team covering new releases and bug fixes.,https://docs.google.com/document/d/1CdEfGhIjKlMnOpQrStUvWxYzAb/edit?usp=sharing,,,,,Content,document,newsletter,product|all-company|gladly|Product Comms\
Zoom Backgrounds,zoom-backgrounds,Collection of branded Zoom backgrounds for employees.,https://drive.google.com/drive/folders/1EfGhIjKlMnOpQrStUvWxYzAbCd?usp=sharing,,,,,CoE,folder,asset,marketing|all-company|gladly|Brand Assets\
2023 Annual Report,2023-annual-report,Company annual report for the fiscal year 2023.,https://docs.google.com/presentation/d/1GhIjKlMnOpQrStUvWxYzAbCdEf/edit?usp=sharing,,,,,Content,document,report,leadership|investors|gladly|Company Reports\
API Key Management,api-key-management,Guide on how to generate and manage API keys safely.,https://help.gladly.com/docs/api-keys,,,,,CoE,link,guide,engineering|admin|gladly|Security & Compliance\
Battlecard: Gorgias,battlecard-gorgias,"Competitive battlecard for Gorgias, focusing on e-commerce specific weaknesses.",https://docs.google.com/presentation/d/1IjKlMnOpQrStUvWxYzAbCdEfGh/edit?usp=sharing,,,,,Content,document,battlecard,sales|gorgias|gladly|Competitive Intel\
Customer Success Stories Deck,customer-success-stories-deck,Presentation deck compiling various customer success stories and metrics.,https://docs.google.com/presentation/d/1KlMnOpQrStUvWxYzAbCdEfGhIj/edit?usp=sharing,,,,,Content,document,presentation,sales|csm|gladly|Case Studies\
Employee Handbook 2024,employee-handbook-2024,Comprehensive handbook for all employees outlining company policies and culture.,https://docs.google.com/document/d/1MnOpQrStUvWxYzAbCdEfGhIjKl/edit?usp=sharing,,,,,CoE,document,guide,hr|all-company|gladly|HR Policies\
Glossary of Terms,glossary-of-terms,Definitions of common terms and acronyms used at Gladly.,https://docs.google.com/document/d/1OpQrStUvWxYzAbCdEfGhIjKlMn/edit?usp=sharing,,,,,CoE,document,guide,all-company|gladly|Onboarding\
Hero Feature Launch Plan,hero-feature-launch-plan,Go-to-market plan for the launch of the Hero feature.,https://docs.google.com/presentation/d/1QrStUvWxYzAbCdEfGhIjKlMnO/edit?usp=sharing,,,,,CoE,document,plan,product|marketing|sales|gladly|Launches\
IT Helpdesk Guide,it-helpdesk-guide,Guide on how to contact IT support and submit tickets.,https://docs.google.com/document/d/1StUvWxYzAbCdEfGhIjKlMnOpQr/edit?usp=sharing,,,,,CoE,document,guide,all-company|gladly|IT Resources\
Meeting Agenda Template,meeting-agenda-template,Standard template for meeting agendas and notes.,https://docs.google.com/document/d/1UvWxYzAbCdEfGhIjKlMnOpQrSt/edit?usp=sharing,,,,,CoE,document,template,all-company|gladly|Productivity\
Partner Portal Guide,partner-portal-guide,User guide for the Partner Portal.,https://docs.google.com/document/d/1WxYzAbCdEfGhIjKlMnOpQrStUv/edit?usp=sharing,,,,,Enablement,document,guide,partners|sales|gladly|Partner Resources\
Product Demo Checklist,product-demo-checklist,Checklist to ensure all steps are covered during a product demo.,https://docs.google.com/document/d/1XyZqQ1fI0kL8rB7pT3o9hV5uS4x2j6mN/edit?usp=sharing,,,,,Enablement,document,checklist,sales|sc|gladly|Demo Assets\
Referral Program Details,referral-program-details,Information about the employee referral bonus program.,https://docs.google.com/document/d/1aBcDeFgHiJkLmNoPqRsTuVwXyZ0/edit?usp=sharing,,,,,CoE,document,policy,hr|all-company|gladly|HR Policies\
Sales Deck: Hospitality,sales-deck-hospitality,Sales presentation tailored for the hospitality industry.,https://docs.google.com/presentation/d/1AbCdEfGhIjKlMnOpQrStUvWxYz/edit?usp=sharing,,,,,Content,document,presentation,sales|hospitality|gladly|Vertical Decks\
Security Incident Response Plan,security-incident-response-plan,Plan for responding to security incidents and breaches.,https://docs.google.com/document/d/1BcDeFgHiJkLmNoPqRsTuVwXyZ0/edit?usp=sharing,,,,,CoE,document,plan,security|engineering|gladly|Security & Compliance\
Social Media Graphics,social-media-graphics,Folder of approved graphics for social media posts.,https://drive.google.com/drive/folders/1CdEfGhIjKlMnOpQrStUvWxYzAb?usp=sharing,,,,,CoE,folder,asset,marketing|gladly|Brand Assets\
System Status Page,system-status-page,Link to the live system status page.,https://status.gladly.com/,,,,,CoE,link,tool,support|all-company|gladly|System Status\
Vendor Management Policy,vendor-management-policy,Policy for selecting and managing third-party vendors.,https://docs.google.com/document/d/1EfGhIjKlMnOpQrStUvWxYzAbCd/edit?usp=sharing,,,,,CoE,document,policy,finance|legal|gladly|Finance Policies\
Webinar: Future of CX,webinar-future-of-cx,Recording of the webinar discussing the future of customer experience.,,https://drive.google.com/file/d/1GhIjKlMnOpQrStUvWxYzAbCdEf/view?usp=sharing,,,,Content,video,webinar,marketing|sales|gladly|Webinars\
Zoom Recording Policy,zoom-recording-policy,Guidelines for recording Zoom meetings and retaining recordings.,https://docs.google.com/document/d/1IjKlMnOpQrStUvWxYzAbCdEfGh/edit?usp=sharing,,,,,CoE,document,policy,it|legal|gladly|IT Policies\
401k Plan Information,401k-plan-information,Details about the company 401k plan and matching.,https://docs.google.com/document/d/1KlMnOpQrStUvWxYzAbCdEfGhIj/edit?usp=sharing,,,,,CoE,document,guide,hr|all-company|gladly|Benefits\
Brand Voice & Tone,brand-voice-tone,Guide to writing in the Gladly brand voice.,https://docs.google.com/document/d/1MnOpQrStUvWxYzAbCdEfGhIjKl/edit?usp=sharing,,,,,CoE,document,guide,marketing|content|gladly|Brand Assets\
Case Study: TUMI,case-study-tumi,Case study on how TUMI improved customer satisfaction with Gladly.,https://gladly.com/customers/tumi/,,,,,Content,link,case-study,sales|marketing|gladly|Case Studies\
Competitor Battlecard: Freshdesk,competitor-battlecard-freshdesk,"Competitive battlecard for Freshdesk, highlighting their limited omnichannel capabilities.",https://docs.google.com/presentation/d/1OpQrStUvWxYzAbCdEfGhIjKlMn/edit?usp=sharing,,,,,Content,document,battlecard,sales|freshdesk|gladly|Competitive Intel\
Customer Support Handbook,customer-support-handbook,Handbook for customer support agents covering processes and tools.,https://docs.google.com/document/d/1QrStUvWxYzAbCdEfGhIjKlMnO/edit?usp=sharing,,,,,Enablement,document,guide,support|gladly|Role-Specific Guides\
Engineering Career Ladder,engineering-career-ladder,Document outlining career progression paths for engineers.,https://docs.google.com/document/d/1StUvWxYzAbCdEfGhIjKlMnOpQr/edit?usp=sharing,,,,,CoE,document,guide,engineering|hr|gladly|Career Growth\
Expense Reimbursement Form,expense-reimbursement-form,Form for submitting expense reimbursement requests.,https://docs.google.com/spreadsheets/d/1UvWxYzAbCdEfGhIjKlMnOpQrSt/edit?usp=sharing,,,,,CoE,tool,form,finance|all-company|gladly|Finance Forms\
Git Workflow Guide,git-workflow-guide,Guide to the company's Git workflow and branching strategy.,https://docs.google.com/document/d/1WxYzAbCdEfGhIjKlMnOpQrStUv/edit?usp=sharing,,,,,CoE,document,guide,engineering|gladly|Technical Docs}
Interview Guide: Engineering,interview-guide-engineering,Guide for conducting technical interviews for engineering roles.,https://docs.google.com/document/d/1aBcDeFgHiJkLmNoPqRsTuVwXyZ0/edit?usp=sharing,,,,,CoE,document,guide,hr|engineering|gladly|Hiring\
Marketing Budget Template,marketing-budget-template,Template for tracking marketing expenses and budget allocation.,https://docs.google.com/spreadsheets/d/1EfGhIjKlMnOpQrStUvWxYzAbCd/edit?usp=sharing,,,,,CoE,tool,template,marketing|finance|gladly|Finance Forms\
Performance Review Process,performance-review-process,Overview of the bi-annual performance review cycle.,https://docs.google.com/document/d/1KlMnOpQrStUvWxYzAbCdEfGhIj/edit?usp=sharing,,,,,CoE,document,process,hr|all-company|gladly|HR Processes\
Press Kit,press-kit,"Kit containing company bios, photos, and press releases for media use.",https://drive.google.com/drive/folders/1OpQrStUvWxYzAbCdEfGhIjKlMn?usp=sharing,,,,,CoE,folder,asset,marketing|gladly|Brand Assets\
Product Vision 2025,product-vision-2025,Long-term product vision and strategy presentation.,https://docs.google.com/presentation/d/1QrStUvWxYzAbCdEfGhIjKlMnO/edit?usp=sharing,,,,,CoE,document,presentation,product|leadership|gladly|Strategy\
RFP Response Library,rfp-response-library,Library of standard responses for Request for Proposals (RFPs).,https://docs.google.com/spreadsheets/d/1StUvWxYzAbCdEfGhIjKlMnOpQr/edit?usp=sharing,,,,,CoE,tool,library,sales|sc|gladly|Sales Tools\
Sales Comp Plan 2024,sales-comp-plan-2024,Details of the 2024 sales compensation plan.,https://docs.google.com/document/d/1UvWxYzAbCdEfGhIjKlMnOpQrSt/edit?usp=sharing,,,,,CoE,document,policy,sales|finance|gladly|Finance Policies\
Security Awareness Training,security-awareness-training,Mandatory security training for all employees.,https://training.gladly.com/security,,,,,CoE,link,course,all-company|gladly|Training\
Slack Best Practices,slack-best-practices,Tips and tricks for getting the most out of Slack.,https://docs.google.com/document/d/1WxYzAbCdEfGhIjKlMnOpQrStUv/edit?usp=sharing,,,,,CoE,document,guide,all-company|gladly|Productivity\
Strategic Account Plan Template,strategic-account-plan-template,Template for planning growth strategies for key accounts.,https://docs.google.com/presentation/d/1XyZqQ1fI0kL8rB7pT3o9hV5uS4x2j6mN/edit?usp=sharing,,,,,Content,document,template,sales|csm|gladly|Sales Tools\
Training Video: Gladly Admin,training-video-gladly-admin,Training video for Gladly administrators.,,https://drive.google.com/file/d/1bcdefghijkLMNOPQRSTUVWXYZ/view?usp=sharing,,,,Enablement,video,training,admin|gladly|Product Training\
User Persona Guide,user-persona-guide,Detailed descriptions of Gladly's target user personas.,https://docs.google.com/document/d/1CdEfGhIjKlMnOpQrStUvWxYzAb/edit?usp=sharing,,,,,CoE,document,guide,product|marketing|gladly|Personas\
Weekly All Hands Agenda,weekly-all-hands-agenda,Agenda for the upcoming weekly All Hands meeting.,https://docs.google.com/document/d/1EfGhIjKlMnOpQrStUvWxYzAbCd/edit?usp=sharing,,,,,CoE,document,agenda,all-company|gladly|Internal Comms\
Year in Review 2023,year-in-review-2023,Retrospective of company achievements in 2023.,https://docs.google.com/presentation/d/1GhIjKlMnOpQrStUvWxYzAbCdEf/edit?usp=sharing,,,,,Content,document,presentation,all-company|gladly|Company Reports\
AWS Architecture Diagram,aws-architecture-diagram,High-level diagram of Gladly's AWS infrastructure.,https://drive.google.com/file/d/1IjKlMnOpQrStUvWxYzAbCdEfGh/view?usp=sharing,,,,,CoE,image,diagram,engineering|gladly|Technical Docs\
Battlecard: Intercom,battlecard-intercom,"Competitive battlecard for Intercom, focusing on enterprise readiness gaps.",https://docs.google.com/presentation/d/1KlMnOpQrStUvWxYzAbCdEfGhIj/edit?usp=sharing,,,,,Content,document,battlecard,sales|intercom|gladly|Competitive Intel\
