_id,title,slug,description,status,publishedTo,format,teams,enablementCategory,coeType,products,audiences,contentType,competitor,externalUrl,videoUrl,slidesUrl,keyAssetUrl,transcriptUrl,featured,displayPriority,priority,customer,isBlindCustomer,kpiCategory,productTags,channelTag,approvedForExternal,contentHubCollections,enablementHubCollections,coeHubCollections,curatedHubCollections,publishDate,presenter,duration
zPpXcTUh96XUWEn8UJhSB5,Call Scripts,call-scripts,"This is an internal sales and marketing playbook, ""Internal Facing: New APEX Outbound Messaging,"" detailing Gladly's Go-To-Market (GTM) strategy for its AI agent, Sidekick.",published,enablement,playbook,sales,competitive,,,,,,https://docs.google.com/document/d/1vgX7fLSS2w7BKs2J3IzU_OOml4-LcDY-1SU1jqv4j3c/edit?tab=t.0#heading=h.d3hy6i1trs2l,https://docs.google.com/document/d/1vgX7fLSS2w7BKs2J3IzU_OOml4-LcDY-1SU1jqv4j3c/edit?tab=t.0#heading=h.d3hy6i1trs2l,,,,FALSE,,50,,,,,,,,Sales,,,,,
zPpXcTUh96XUWEn8UKAyf5,"Case Studies, Testimonials, Social Proof Slides",case-studies-testimonials-social-proof-slides,"This presentation, titled ""Social Proof | Case Studies, Testimonials, Social Proof,"" is a collection of customer success stories, quotes, and key metrics demonstrating the impact of the Gladly plat...",published,coe,,sales|customer-success,,meeting-asset,,,,,https://docs.google.com/presentation/d/1Los9XfjtmFBJbbcY5vUf9YuRhlDzocw5Y9wmJq9Slx8/edit?usp=drive_link,,,,,FALSE,,50,,,,,,,,,Meeting Examples,,,,
zPpXcTUh96XUWEn8UJhSja,Champion Kit Play,champion-kit-play,This play equips internal champions with resources to promote Gladly within their organization.,published,coe,,sales|customer-success,,tool,,,Playbook,,https://docs.google.com/document/d/1EL4-ZXrgc-uZxLpM8FzI_iafY-oxkqozUkActJVixIA/edit?tab=t.0#heading=h.tjy6r743vffo,,,,,FALSE,,50,,,,,,,,,Best Practices,,,,
zPpXcTUh96XUWEn8UKB1N5,Chat Optimization Mastery: The Path to 90% FCR,chat-optimization-mastery-the-path-to-90-fcr,"This guide provides a comprehensive roadmap for achieving elite-level chat automation performance, with organizations reaching 85-90% First Contact Resolution rates.",published,coe,,sales|customer-success,,internal-best-practice,,,,,https://docs.google.com/document/d/1aQPaIBAK4Hjw7LK1U_2m8vYKjnIiatT3urUnmUMh10s/edit?tab=t.x15qpd8k7ww0,,,,,FALSE,,50,,,,,,,,,Best Practices,,,,
mXsDyLN04EKCrxVbcNNeeR,Clarabridge + Gladly Slides,clarabridge-gladly-slides,This document is a sales or informational presentation about the partnership and integration between Gladly and Clarabridge (CB).,published,content,,sales,,,,,Deck,,https://docs.google.com/presentation/d/1XdwvIfMwwB-P725iiBWrKT7t30Je4Hax/edit#slide=id.p1,,,,,FALSE,,50,,,,,,,Meeting Decks,,,,,,
zPpXcTUh96XUWEn8UKAzna,CoE Assistant,coe-assistant,AI assistant that helps pull relevant proof points and best practices from the CoE,published,coe,,sales|customer-success,,internal-best-practice,,,,,https://gemini.google.com/gem/1Ni5NH8lMDJ7v_FCN6DdLo2irtn56cLJW?usp=sharing,,,,,FALSE,,50,,,,,,,,,Best Practices,,,,
zPpXcTUh96XUWEn8UKB075,CoE Repository /Proof Point Repository,coe-repository-proof-point-repository,"Repository of all CoE submissions, customer quotes, and proof points",published,coe,,sales|customer-success,,internal-best-practice,,,,,https://docs.google.com/spreadsheets/d/1Y0n1rVskWIzWcegwCbfP7YUXkjV58TFf5S7LLxMkFNA/edit?gid=1231034257#gid=1231034257,,,,,FALSE,,50,,,,,,,,,Best Practices,,,,
zPpXcTUh96XUWEn8UKAzy5,CoE Submission Tips,coe-submission-tips,CoE workflow instructions and tips on how to submit.,published,coe,,sales|customer-success,,process-innovation,,,,,https://docs.google.com/document/d/1g9EmAtRMD8R0ZHuJltLUjjjKB37o852FyzwoK8vLdPc/edit?tab=t.0,,,,,FALSE,,50,,,,,,,,,Best Practices,,,,
zPpXcTUh96XUWEn8UJhOG5,Competitive Capability Research,competitive-capability-research,"This spreadsheet is a detailed comparison of several AI platforms, including Sidekick, Intercom Fin, Decagon, Ada, Siena, Forethought, Sierra AI, Gorgias, Zendesk AI, Salesforce, and Genesys.",published,content,,sales,,,,,Competitive,,https://docs.google.com/spreadsheets/d/1PupVCE-HdsYnrMkscOI2Mtw73Zbceg02rPVX7XK5TKU/edit?gid=0#gid=0,,,,,FALSE,,50,,,,,,,Meeting Decks,,,,,,
cs-consumption,Consumption Dashboard,consumption-dashboard,Consumption metrics,published,content,document,customer-success,internal-ops,,,,Dashboard,,https://gladly.lightning.force.com/lightning/r/Dashboard/01ZQh000002gUYPMA2/view,,,,,FALSE,,50,,,,,,,Uncategorized,,,,2025-11-01,,
D3QeIwvujt0EeHckarouIX,Content Cheat Sheet,content-cheat-sheet,"This document is the Content Cheat Sheet, a guide from the Gladly Content Team that details their mission, core resources, and current Q3 2025 content priorities and goals.",published,content,,sales|customer-success,,,,,,,https://docs.google.com/document/d/1wQGGRdwZEQIUoTYM-g50Qn5m90cSTCpiQ7-jDUPhk7o/edit?tab=t.0#heading=h.qhdqvwp9dmyj,,,,,FALSE,,50,,,,,,,Meeting Decks,,,,,,
mXsDyLN04EKCrxVbcNNbVH,Content Garden,content-garden,"This spreadsheet, titled ""Content Garden,"" appears to be an inventory of marketing and content assets related to customer experience (CX) and Artificial Intelligence (AI).",published,content,,sales,,,,,,,https://docs.google.com/spreadsheets/d/1y-p4_Ax7PKwfKDRa3djxYLAjD9tnc3m42YmYwa44aE4/edit?gid=921100291#gid=921100291,,,,,FALSE,,50,,,,,,,Meeting Decks,,,,,,
revops-tips,Core Systems Tips & Tricks,core-systems-tips-tricks,Tips and tricks for core systems,published,content,document,"sales, customer-success",,,,,,,https://docs.google.com/document/d/1uBiC3y-yMgVGLkk67u_PUFttIhb9d8Nfc_qmyVM39J8/edit,,,,,FALSE,,50,,,,,,,Uncategorized,,,,2025-11-01,,
D3QeIwvujt0EeHckas8LOV,Cross-Org Guides Looker Dashboard,cross-org-guides-looker-dashboard,Guide on how to interprate and use the Cross-Org Guides Looker Dashboard.,published,coe,,sales|customer-success,,tool,,,,,https://docs.google.com/document/d/1XANF2CXqwaMNooiz-raP4f0ukKQVyhcS2c_HEOkBffo/edit?tab=t.0#heading=h.a5cvact35pt3,,,,,FALSE,,50,,,,,,,,,Best Practices|Dashboards,,,,
zPpXcTUh96XUWEn8UJhGda,Customer AI Guide,customer-ai-guide,Comprehensive guide to Gladly's Customer AI capabilities and implementation.,published,content,,customer-success,,,,,Guide,,https://cdn.sanity.io/files/ny21dgz6/production/6af3c91cf9107316fbe87182799ea3d62f17887c.pdf,,,,,FALSE,,50,,,,,,,Meeting Decks,,,,,,
drafts.enable-ai-narrative,Customer AI Narrative,customer-ai-narrative,"Deep dive into Gladly's messaging, what has changed, and why it matters",published,enablement|content,live-replay,"sales, customer-success",GTM,,Sidekick|Classic,,Training,,,https://drive.google.com/file/d/19Olch59OMWAczh4Rn7VbIpXCHDnOTzeP/view,,,,FALSE,,80,,,,,,,Uncategorized,Uncategorized,,,2025-05-22,,50 min
D3QeIwvujt0EeHckarrI3x,Customer AI One Pager,customer-ai-one-pager,". It is designed around customers and continuous conversations—not tickets—offering genuinely intelligent understanding of customer intent and operating fluently across all channels, including voic...",published,content,,sales,,,,,,,https://drive.google.com/file/d/1dVUrfYkQUHbuUY2kiM3WnfnoZOlGLY1D/view?usp=sharing,,,,,FALSE,,50,,,,,,,Meeting Decks,,,,,,
D3QeIwvujt0EeHckas8L18,Customer AI Video  (30 sec),customer-ai-video-30-sec,The video highlights how Gladly's platform integrates customer AI to enhance user experience.,published,enablement,on-demand,sales|customer-success,product,,,,,,https://gladly.wistia.com/medias/9u1ti1dmce,https://gladly.wistia.com/medias/9u1ti1dmce,,,,FALSE,,50,,,,,,,,Sales|Customer Success,,,,,
zPpXcTUh96XUWEn8UJhTj5,Customer AI Video (30 sec),customer-ai-video-30-sec,The video highlights how Gladly's platform integrates customer AI to enhance user experience.,published,enablement,,,,,,,Video,,,,,,,,,50,,,,,,,,,,,,,
D3QeIwvujt0EeHckas8MNT,Customer Asset Library,customer-asset-library,"Find prior customer executive decks, BVA models, QBR decks, and more here to learn from!",published,content,,,,,,,,,https://docs.google.com/spreadsheets/d/1F6hagYyIKi614gmOO7WedoCs2CItxOoCVepQTXQiWTQ/edit?gid=1403690311#gid=1403690311,,,,,FALSE,,50,,,,,,,,,,,,,
zPpXcTUh96XUWEn8UKB1f5,Customer Asset Library,customer-asset-library,"This spreadsheet, titled ""FY26 Customer Meetings + BVAs,"" serves as a customer asset library to track and store materials from customer engagements such as Business Value Assessments (BVA), Executi...",published,coe,,sales,,meeting-asset,,,,,https://docs.google.com/spreadsheets/d/1F6hagYyIKi614gmOO7WedoCs2CItxOoCVepQTXQiWTQ/edit?gid=1403690311#gid=1403690311,,,,,FALSE,,50,,,,,,,,,Meeting Examples,,,,
mXsDyLN04EKCrxVbcO2OXf,Customer BVA One Pager,customer-bva-one-pager,"Did you walk your customer through the BVA approach, and they asked for a summary?",published,coe,,sales|customer-success,,meeting-asset,,,,,https://drive.google.com/open?authuser=0&id=1x7vzm8ERhvNdqXeSTBs1n7EgdHBscqNS,,,,,FALSE,,50,,,,,,,,,Meeting Examples,,,,
cs-dip-dash,Customer Consumption Dip Case Dashboard,customer-consumption-dip-case-dashboard,Dip case tracking,published,content,document,customer-success,,,,,Dashboard,,https://gladly.lightning.force.com/lightning/r/Dashboard/01ZQh000002uN0nMAE/view,,,,,FALSE,,50,,,,,,,Uncategorized,,,,2025-11-01,,
cs-dip-guide,Customer Consumption Dip Cases Guide,customer-consumption-dip-cases-guide,How to handle consumption dip cases,published,content,document,customer-success,,,,,Guide,,https://docs.google.com/document/d/1cup1o5nPHzmwL9EFHCWvHt_J8yybmW7aTYKK6-CQ8eY/edit,,,,,FALSE,,50,,,,,,,Uncategorized,,,,2025-11-01,,
D3QeIwvujt0EeHckarotPf,Customer Interest Tracker,customer-interest-tracker,"This spreadsheet, titled ""Email & Voice,"" serves as a tracker for various accounts interested in or implementing Sidekick Email and/or Sidekick Voice products.",published,content,,sales|customer-success|implementation,,,,,,,https://docs.google.com/spreadsheets/d/1tOFcQUvVg6cSHAq-JY8TwLn2qewbmZ3ZgRmQ-tJSffI/edit?gid=2127367014#gid=2127367014,,,,,TRUE,featured,50,,,,,,,Meeting Decks,,,,,,
mXsDyLN04EKCrxVbcO2Jyg,Customer Meeting Slides,customer-meeting-slides,"For CS: Identify slides based on outcome to lead a compelling, actionable customer meeting.",published,coe,,sales|customer-success,,meeting-asset,,,,,https://docs.google.com/presentation/d/1BMqm50ls4lJfYPw1TSyoSFjuBmM3u2m8PVEwTNy5Rko/edit?slide=id.g33d39233a97_0_6#slide=id.g33d39233a97_0_6,,,,,FALSE,,50,,,,,,,,,Meeting Examples,,,,
mXsDyLN04EKCrxVbcO2KEI,Customer Meeting Template (Megadeck),customer-meeting-template-megadeck,"This document is the ""Customer Meeting Template aka Megadeck - FY26 Q4 Update,"" a modular presentation for Customer Success Managers and Account Managers to use with current customers.",published,coe,,customer-success,,meeting-asset,,,,,https://docs.google.com/presentation/d/1BMqm50ls4lJfYPw1TSyoSFjuBmM3u2m8PVEwTNy5Rko/edit?slide=id.g33d39233a97_0_6#slide=id.g33d39233a97_0_6,,,,,FALSE,,50,,,,,,,,,Meeting Examples,,,,
