title,slug,description,externalUrl,videoUrl,slidesUrl,keyAssetUrl,transcriptUrl,hub,format,type,tags,publishDate,presenter,duration
DealHub Module 3: Advanced Quoting,dealhub-module-3-advanced-quoting,DealHub certification module 3 - Advanced Quoting,,https://drive.google.com/file/d/1oVEM3Jjq7YMQHeW2HvEObjjfLYOt2lip/view,,,,Enablement,course,Internal Ops,Internal Ops|course|Internal Ops|Training|sales|Sales,2025-11-01,,30
DealHub Module 4: Approvals & Dealtalk,dealhub-module-4-approvals-dealtalk,DealHub certification module 4 - Approvals & Dealtalk,,https://drive.google.com/file/d/1nbHeiZr4OzJQN6aF1IWbwPG34jnyQvII/view,,,,Enablement,course,Internal Ops,Internal Ops|course|Internal Ops|Training|sales|Sales,2025-11-01,,30
DealHub Module 5: Publishing & Execution,dealhub-module-5-publishing-execution,DealHub certification module 5 - Publishing & Execution,,https://drive.google.com/file/d/1kEgBI_O8-rM8B4zgvilrQYajA9Chvv0v/view,,,,Enablement,course,Internal Ops,Internal Ops|course|Internal Ops|Training|sales|Sales,2025-11-01,,30
Discovery,discovery,"This self-led program equips you to excel in first meetings by showcasing Gladly’s value, customizing the deck, building rapport, and conducting discovery.",https://docs.google.com/document/d/1PALIKygFK0qpJUDz0TIiXPyy-xWn4oRZ9G6zezCyfYs/edit?tab=t.0,https://docs.google.com/document/d/1PALIKygFK0qpJUDz0TIiXPyy-xWn4oRZ9G6zezCyfYs/edit?tab=t.0,,,,Enablement,course,gtm-strategy,gtm-strategy|course|value-realization|sales|customer-success|Sales|Customer Success,,,
ENT/MM: Early Stage Execution S1→S3,entmm-early-stage-execution-s1s3,Enterprise early stage execution training,,,,,,Enablement,,gtm-strategy,gtm-strategy,2025-12-04,,
Field Demo Certification Intro,field-demo-certification-intro,Demo certification introduction,,,,,,Enablement,,demo,demo|Demo,2025-07-01,,
Field Team Demo Certification (AEs/AMs),field-team-demo-certification-aes-ams,"This self-led program equips you to deliver a confident and compelling 15-minute Gladly demo that highlights our key product areas, from AI to agent experience to no-code optimization.",https://classroom.google.com/w/Nzg4OTQxMjEzMTcx/tc/Nzg5MDc4MTY4MDQz,https://classroom.google.com/w/Nzg4OTQxMjEzMTcx/tc/Nzg5MDc4MTY4MDQz,,,,Enablement,course,demo,demo|course|internal-ops|Demo|sales|customer-success|Sales|Customer Success,,,
Field Team Demo Certification (SCs),field-team-demo-certification-scs,"This self-led program equips you to deliver a confident and compelling 15-minute & 45-minute Gladly demo that highlights our key product areas, from AI to agent experience to no-code optimization.",https://classroom.google.com/w/Nzg4OTQxMjEzMTcx/tc/NzgzMjIzMTU1MTg5,https://classroom.google.com/w/Nzg4OTQxMjEzMTcx/tc/NzgzMjIzMTU1MTg5,,,,Enablement,course,demo,demo|course|internal-ops|Demo|sales|customer-success|Sales|Customer Success,,,
First Meeting Pitch Play,first-meeting-pitch-play,How to create and customize your deck for any first sales meeting.,,,https://docs.google.com/presentation/d/1TzNEZDVrxebVmFrHC4Jw6xhzUCPf4de7AUQ3-BxsNcY/edit?slide=id.g3a79279a5a3_1_2#slide=id.g3a79279a5a3_1_2,,,Enablement,document,GTM,GTM|document|GTM|Playbook|Sidekick|Uncategorized,2025-04-24T23:40:00.000Z,Alex Tzeng,60
Flip Competitive + SK Voice Roadmap,flip-competitive-sk-voice-roadmap,"Enablement session on Sidekick Voice competitive positioning against Flip, including performance improvements, battlecard details, product roadmap to close gaps, and GTM expansion strategy.",,https://drive.google.com/file/d/1W2HcWCAl5IdcQQlTGAXw_BgLWAmvXz9B/view?usp=drive_link,https://docs.google.com/presentation/d/1T9200y6CYXC7BmsWVJBxQWMti75TV7TeId4lXmST8f8/edit?usp=drive_link,,,Enablement,,Competitive,Competitive|Competitive|Training|Uncategorized,2025-09-04,,
GTM All Hands Q4 Kick Off,gtm-all-hands-q4-kick-off,"Comprehensive Q4 go-to-market kickoff covering Q3 performance highlights, team recognition, and strategic priorities including standalone AI focus, vertical expansion, and technical buyer engagement.",,,https://docs.google.com/presentation/d/1q1uVz-RKyv-wweaHjbuv_KFzx5HXuObSct6tOMUD3ZY/edit?slide=id.g3454249e2df_30_67#slide=id.g3454249e2df_30_67,,,Enablement,,GTM Strategy,GTM Strategy|GTM Strategy|All Teams|Uncategorized,2025-12-01T19:09:40.015Z,GTM Leadership,60 min
Gladly Customer AI Launch Video,gladly-customer-ai-launch-video,Customer experience leaders often struggle between providing personalized service and maintaining cost-effectiveness.,https://gladly.wistia.com/medias/6j0k6m70k1,https://gladly.wistia.com/medias/6j0k6m70k1,,,,Enablement,on-demand,product,product|on-demand|product|Video|sales|customer-success|Sales|Customer Success,,,
Gladly Platform Demo Guide & Script | Q2 2025 Demo Certification,gladly-platform-demo-guide-script-q2-2025-demo-certification,This document is the comprehensive Gladly Platform Demo Guide & Script for the Q2 2025 Demo Certification.,https://docs.google.com/document/d/12vNcMToBUXSbvCUwiL4gnr-b5Z6x4-pUFUJ5IOxrORg/edit?tab=t.0#heading=h.o17cu6wdbt7y,https://docs.google.com/presentation/d/12YzsXee5kkEtBO9vTFsI2SEfJrkjhd2zpVgqtNEwDT8/edit?slide=id.p1#slide=id.p1,,,,Enablement,course,internal-ops,internal-ops|course|internal-ops|Guide|customer-success|solutions-consultant|Customer Success|Solutions Consultant,,,
Gladly Sales Process: S0 → S1,gladly-sales-process-s0-s1,Sales process Stage 0 to Stage 1,,,,,,Enablement,,,,2025-11-13,,
Guides and Journeys,guides-and-journeys,Guides and Journeys feature training,,,,,,Enablement,,,,2025-01-16,,
Journey For Answers Technical AMA + White Glove Service,journey-for-answers-technical-ama-white-glove-service,Technical Q&A and services,,,,,,Enablement,,,,2025-04-24,,
July All Hands,july-all-hands,July all hands meeting,,,,,,Enablement,,,,2025-07-03,,
June GTM All Hands,june-gtm-all-hands,June GTM all hands,,,,,,Enablement,,,,2025-06-05,,
Kustomer Competitor Knockout Play,kustomer-competitor-knockout-play,This play is designed to re-engage closed-lost opportunities from Kustomer by leveraging recent changes at Kustomer.,https://docs.google.com/document/d/1Qch86aH3u8v3R7cV5nWGPTKuOhzeolOHYOuTGMYWXCA/edit?tab=t.0,https://docs.google.com/document/d/1Qch86aH3u8v3R7cV5nWGPTKuOhzeolOHYOuTGMYWXCA/edit?tab=t.0,,,,Enablement,playbook,competitive,competitive|playbook|competitive|Playbook|sales|Sales,,,
Live Customer Example Play Library,live-customer-example-play-library,This play allows prospects to experience Gladly in a real-world setting using live customer environments.,https://docs.google.com/document/d/1yJV4fHvPCu99QqMKr2QuB2_MSacc-nNiEOKj_kfCLqE/edit?tab=t.0#heading=h.tjb0gwcnipxo,https://docs.google.com/document/d/1yJV4fHvPCu99QqMKr2QuB2_MSacc-nNiEOKj_kfCLqE/edit?tab=t.0#heading=h.tjb0gwcnipxo,,,,Enablement,playbook,value-realization,value-realization|playbook|value-realization|Playbook|sales|Sales,,,
MM/ENT Closing Excellence S4 → Close,mment-closing-excellence-s4-close,Mid-market/Enterprise closing excellence training,,,,,,Enablement,,,,2025-12-11,,
MaestoQA + Gladly Slides,maestoqa-gladly-slides,"This is the **MaestroQA | Tech Alliance Partner (Gladly Field Enablement Deck)**, which outlines MaestroQA's omni-channel Quality Assurance and CX Insights solution for next-generation customer ser...",https://docs.google.com/presentation/d/1OM_aNQgUp8MKVLPf1LdK8jkdsTeAUfGTakCPvsmalEI/edit,https://docs.google.com/presentation/d/1OM_aNQgUp8MKVLPf1LdK8jkdsTeAUfGTakCPvsmalEI/edit,,,,Enablement,on-demand,partner,partner|on-demand|partner|customer-success|Customer Success,,,
MaestroQA + Gladly Slides,maestroqa-gladly-slides,MaestroQA partnership training,,,,,,Enablement,,,Deck,,,
Monthly Partnership Enablement: Unwrap.ai,monthly-partnership-enablement-unwrap-ai,"Partnership enablement for Unwrap.ai, Gladly's new data and analytics partner. Learn how Unwrap uses AI to aggregate unstructured customer feedback from multiple sources and extract granular insights, enabling faster issue detection and voice of customer analysis.",,,,,,Enablement,,Partner,Partner|Partner|Training|Uncategorized,2025-11-12,"Nathan Smith, Ben Altneu, Ryan (Unwrap CEO)",30 min
Netomi Battle Card 2024,netomi-battle-card-2024,"This document is a ""Netomi Battle Card"" that compares Gladly's Sidekick product against the competitor Netomi, positioning Netomi as a ""Sidekick Competitor."" It highlights Gladly Sidekick's advanta...",https://docs.google.com/document/d/10SGlOfQa6ScUmQX4qAgpe_YrSdZPFtHDnK_lFK7bSAI/edit?usp=drive_link,https://docs.google.com/document/d/10SGlOfQa6ScUmQX4qAgpe_YrSdZPFtHDnK_lFK7bSAI/edit?usp=drive_link,,,,Enablement,on-demand,competitive,competitive|on-demand|competitive|Battle Card|implementation|Solutions Consultant,2024-01-01,,
RFP Lockout Play,rfp-lockout-play,"This play is designed to influence an RFP before it is issued, positioning Gladly as the preferred solution.",https://docs.google.com/document/d/1Qch86aH3u8v3R7cV5nWGPTKuOhzeolOHYOuTGMYWXCA/edit?tab=t.0,https://docs.google.com/document/d/1Qch86aH3u8v3R7cV5nWGPTKuOhzeolOHYOuTGMYWXCA/edit?tab=t.0,,,,Enablement,playbook,gtm-strategy,gtm-strategy|playbook|gtm-strategy|Playbook|sales|customer-success|Sales|Customer Success,,,
Refuse to Compromise Keynote,refuse-to-compromise-keynote,"Today’s customer experience landscape demands more — faster service, deeper personalization, and greater efficiency — but most platforms force brands to choose between connection and cost.",https://gladly.wistia.com/medias/9pmw3hcu1b,https://gladly.wistia.com/medias/9pmw3hcu1b,,,,Enablement,on-demand,product,product|on-demand|product|sales|customer-success|Sales|Customer Success,,,
SK for Email + App Platform,sk-for-email-app-platform,Sidekick Email and App Platform,,,,,,Enablement,,,,2025-06-18,,
SMB Sales Process Training,smb-sales-process-training,SMB sales process training,,,,,,Enablement,,,Training,2025-12-10,,
Sales Activity Expectations & SK Voice AMA,sales-activity-expectations-sk-voice-ama,Sales expectations and Voice Q&A,,,,,,Enablement,,,,2025-08-21,,
Sales All Hands - Sidekick Standalone,sales-all-hands-sidekick-standalone,Sidekick Standalone all hands,,,,,,Enablement,,,,2025-06-06,,
Sales Process Foundational Training: S0→S1,sales-process-foundational-training-s0-s1,"A comprehensive reset and alignment for the Sales team on the updated Gladly Sales Process, focusing on the transition from Stage 0 (S0) to Stage 1 (S1). Learn the four mandatory qualification criteria, sales team roles by segment, and new Salesforce automation rules designed to speed up sales cycles and provide clearer paths to quota.",,https://drive.google.com/open?id=1UHYUQWIHF8iZYJ399KDmCuv86GfkZSGw,https://drive.google.com/open?id=1jt6LRfLN-KUjVYqA3JKD2hMLIl0pn490,,,Enablement,,GTM,GTM|GTM|Training|Uncategorized,2025-11-18T05:00:00.000Z,RevOps Team,60
Selling High + FM Deck,selling-high-fm-deck,High-value selling training,,,,,,Enablement,,Deck,Deck|Deck,2025-06-12,,
Sidekick Sales Launch Enablement,sidekick-sales-launch-enablement,Sidekick Sales launch training,,,,,,Enablement,,Training,Training|Training,2025-09-11,,
Sidekick Sales Market Analysis,sidekick-sales-market-analysis,"This document is a comprehensive market research report on the retail and ecommerce AI product recommendation market, valued at over $8.65 billion in 2025.",https://drive.google.com/file/d/1v_igXahYX3M-1WvqIywWBDMVDud9TxBv/view?usp=sharing,https://drive.google.com/file/d/1v_igXahYX3M-1WvqIywWBDMVDud9TxBv/view?usp=sharing,,,,Enablement,on-demand,competitive,competitive|on-demand|competitive|Report|sales|Sales,,,
Sidekick Standalone + Sidekick Sales,sidekick-standalone-sidekick-sales,Combined Sidekick training,,,,,,Enablement,,,,2025-05-25,,
Sidekick Standalone Play,sidekick-standalone-play,"These documents comprise a suite of sales enablement materials, presentations, and detailed implementation blueprints for Gladly’s Sidekick AI solution, focusing on its use as a standalone product ...",https://docs.google.com/document/d/1wPX5JDe_2awuql2zK5aPJnYcDQ-rAqTHWTslUzvs03Y/edit?tab=t.2f7vl8kjvusu,https://docs.google.com/document/d/1wPX5JDe_2awuql2zK5aPJnYcDQ-rAqTHWTslUzvs03Y/edit?tab=t.2f7vl8kjvusu,,,,Enablement,playbook,value-realization,value-realization|playbook|value-realization|sales|implementation|Sales|Solutions Consultant,,,
Sidekick Standalone Tactical Enablement,sidekick-standalone-tactical-enablement,Sidekick Standalone tactical training,,,,,,Enablement,,Learning,Learning|Learning,2025-05-09,,
Sidekick for Voice,sidekick-for-voice,Sidekick Voice training,,,,,,Enablement,,,,2025-04-17,,
Sidekick for Zendesk Play,sidekick-for-zendesk-play,"This play is designed to help you in selling Sidekick as a standalone AI product to businesses currently using Zendesk who want to elevate their CX with personalized, end-to-end automation without ...",https://docs.google.com/document/d/1wPX5JDe_2awuql2zK5aPJnYcDQ-rAqTHWTslUzvs03Y/edit?tab=t.2f7vl8kjvusu,https://docs.google.com/document/d/1wPX5JDe_2awuql2zK5aPJnYcDQ-rAqTHWTslUzvs03Y/edit?tab=t.2f7vl8kjvusu,,,,Enablement,playbook,internal-ops,internal-ops|playbook|internal-ops|Playbook|sales|Sales,,,
SimpleSat Partnership Enablement,simplesat-partnership-enablement,SimpleSat partnership training,,,,,,Enablement,,,Training,2025-08-13,,
Social Comments Messaging Brief,social-comments-messaging-brief,"This document is a comprehensive messaging brief for Gladly's ""Social Comments"" feature, which outlines the value proposition, key messages, and positioning for bringing Instagram comments into the...",https://docs.google.com/document/d/1BcXnWp8z9HDPahEzcAK7UDg6ODTLXHME-TCK_uA_KtQ/edit?tab=t.0,https://docs.google.com/document/d/1BcXnWp8z9HDPahEzcAK7UDg6ODTLXHME-TCK_uA_KtQ/edit?tab=t.0,,,,Enablement,on-demand,competitive,competitive|on-demand|competitive|sales|Sales,,,
"Social Comments, Product Enhancement Requests, + Competitive Partner Support",social-comments-product-enhancement-requests-competitive-partner-support,Multi-topic enablement session,,,,,,Enablement,,,Competitive,2025-11-13,,
Technical Buyer Enablement (CIO/CTO),technical-buyer-enablement-cio-cto,"Learn how to effectively engage CIOs and CTOs at your top accounts. This session covers why technical buyers are now more accessible than ever due to AI initiatives, how to tailor your messaging to their specific priorities, and proven strategies for getting ""in the room where it happens"" before competitors like Sierra do.",,https://drive.google.com/file/d/1ZXszCroPsKZr84Nt560OikWmgpzjM1xU/view?usp=drive_link,https://docs.google.com/presentation/d/1NXc2GmnFDOmtePM-c9G0GrSlY5Fb0VXZHWZKrOF0MuY/edit?usp=drive_link,,,Enablement,live-replay,gtm-strategy,"gtm-strategy|live-replay|GTM|Training|sales, customer-success|Sidekick|Classic|Uncategorized|Uncategorized",2025-10-16,"Gina Vivar, Steve West, Andy D'Amato, Marcus Tetwiler",47 min
Transaction Threads,transaction-threads,Transaction Threads training,,,,,,Enablement,,product,product,2024-12-11,,
Unwrapped AI Partnership Enablement,unwrapped-ai-partnership-enablement,AI partnership enablement session,,,,,,Enablement,,partner,partner|Training,2025-11-12,,
Voice AI,voice-ai,Voice AI training,,,,,,Enablement,,product,product,2025-01-09,,
White Glove Implementation Service + Buyout Program Play,white-glove-implementation-service-buyout-program-play,"This play tackles friction in implementation, especially for Stage 3+ enterprise deals.",https://docs.google.com/document/d/1CzOkCAs3cHxzDmLZwCVQSeKlVjuo7uftY5Yso-05DWk/edit?tab=t.2f7vl8kjvusu#heading=h.5cav0eubzkz7,https://docs.google.com/document/d/1CzOkCAs3cHxzDmLZwCVQSeKlVjuo7uftY5Yso-05DWk/edit?tab=t.2f7vl8kjvusu#heading=h.5cav0eubzkz7,,,,Enablement,playbook,gtm-strategy,gtm-strategy|playbook|value-realization|implementation|Gladly (fka Sidekick)|Sales|Solutions Consultant,,,
