title,slug,description,shortDescription,externalUrl,videoUrl,slidesUrl,keyAssetUrl,transcriptUrl,hub,format,type,tags,boards,status,durationMinutes,views,shares,createdAt
Balsam Brands - True omnichannel achieved,quote-balsam-brands-gladly-isn-t-just-an-omnichann,"Gladly isn’t just an omnichannel platform—it’s the gateway to all of our customer interactions. It seamlessly weaves together voice calls, emails, chats, SMS, and WhatsApp messages into a unified, continuous conversation with each customer. As magical as that may sound, the real secret sauce behind Gladly’s success is its exceptional support and product teams. They genuinely listen to their customers and work tirelessly to continually innovate and improve the platform."" - Joe B. Tools Admin Seni",Balsam Brands on AI transformation,,,,,,coe,proof-point,customer-quote,balsam-brands|boost-efficiency|customer-quote|enhance-experience|gladly-hero|proof-point,coe,published,,0,0,2025-12-28T15:27:13.739Z
Bark - 33% Decrease in overall Handle Time,metric-bark-33-decrease-in-overall-handle,33% Decrease in overall Handle Time | KPI: Average handle times | Channel: All written channels | Product: Gladly Hero,Bark achieved 33% improvement,,,,,,coe,proof-point,customer-success-metric,bark|customer-success-metric|gladly-hero|proof-point,coe,published,,0,0,2025-12-28T15:27:13.739Z
Bark - 56% Decrease in wait time on chat,metric-bark-56-decrease-in-wait-time-on-c,56% Decrease in wait time on chat | KPI: Time to first response | Channel: Chat | Product: Gladly Hero,Bark achieved 56% improvement,,,,,,coe,proof-point,customer-success-metric,bark|chat|customer-success-metric|gladly-hero|proof-point,coe,published,,0,0,2025-12-28T15:27:13.739Z
Bark - Customer testimonial,quote-bark-with-gladly-we-have-the-ease,"With Gladly, we have the ease of being able to make adjustments on the fly - I love the flexibility and proven reliability of Gladly.”",Customer testimonial quote,,,,,,coe,proof-point,customer-quote,bark|customer-quote|gladly-hero|proof-point,coe,published,,0,0,2025-12-28T15:27:13.739Z
Bark - Peak season success,quote-bark-one-of-the-most-successful-pe,“One of the most successful peak seasons we’ve seen.”,Bark on peak season success,,,,,,coe,proof-point,customer-quote,bark|customer-quote|gladly-hero|proof-point,coe,published,,0,0,2025-12-28T15:27:13.739Z
$3.09 - $8.22 CPC per agent-assisted contact (average),benchmark-3-09-8-22-cpc-per-agent-assisted-con,$3.09 - $8.22 CPC per agent-assisted contact (average) | KPI: Cost Per Contact,Industry Cost Per Contact benchmark data,,,,,,coe,proof-point,benchmark,benchmark|marketing|proof-point|sales|Marketing,coe,published,,0,0,2025-12-28T15:27:13.314Z
75.2% average FCR for voice interactions.,benchmark-75-2-average-fcr-for-voice-interactions,75.2% average FCR for voice interactions. | KPI: First Contact Resolution,Industry First Contact Resolution benchmark data,,,,,,coe,proof-point,benchmark,benchmark|marketing|proof-point|sales|voice|Marketing,coe,published,,0,0,2025-12-28T15:27:13.314Z
Industry average: $1-$3 Median: $2 Source: Twilio,benchmark-industry-average-1-3-median-2-sourc,Industry average: $1-$3 Median: $2 Source: Twilio | KPI: Cost Per Order | Channel: SMS | Twilio,Industry Cost Per Order benchmark for SMS,,,,,,coe,proof-point,benchmark,benchmark|marketing|proof-point|sales|sms|Marketing,coe,published,,0,0,2025-12-28T15:27:13.314Z
Industry CPC Benchmark - Email,benchmark-industry-average-2-4-median-3,"Industry average: $2-$4 Median: $3 | KPI: Cost Per Contact | Channel: Email | ICMI, LiveAgent",Industry Cost Per Contact benchmark for Email,,,,,,coe,proof-point,benchmark,benchmark|email|marketing|proof-point|sales|Marketing,coe,published,,0,0,2025-12-28T15:27:13.314Z
Industry CPC Benchmark - Chat,benchmark-industry-average-3-5-median-4,"Industry average: $3-$5 Median: $4 | KPI: Cost Per Contact | Channel: Chat | Twilio, Harte Hanks",Industry Cost Per Contact benchmark for Chat,,,,,,coe,proof-point,benchmark,benchmark|chat|marketing|proof-point|sales|Marketing,coe,published,,0,0,2025-12-28T15:27:13.314Z
Industry CPC Benchmark - Voice,benchmark-industry-average-5-12-median-8,"Industry average: $5-$12 Median: $8 | KPI: Cost Per Contact | Channel: Voice | MetricNet, ICMI",Industry Cost Per Contact benchmark for Voice,,,,,,coe,proof-point,benchmark,benchmark|marketing|proof-point|sales|voice|Marketing,coe,published,,0,0,2025-12-28T15:27:13.314Z
Industry Contacts/Order - SMS,benchmark-industry-average-1-3-1-5-contacts-media,"Industry average: 1.3-1.5 contacts Median: 1.4 contacts | KPI: Contacts per order | Channel: SMS | Twilio, RingCentral",Industry Contacts per order benchmark for SMS,,,,,,coe,proof-point,benchmark,benchmark|marketing|proof-point|sales|sms|Marketing,coe,published,,0,0,2025-12-28T15:27:13.547Z
Industry Contacts/Order - Chat,benchmark-industry-average-1-4-1-6-contacts-media,"Industry average: 1.4-1.6 contacts Median: 1.5 contacts | KPI: Contacts per order | Channel: Chat | Zendesk, Surfboard",Industry Contacts per order benchmark for Chat,,,,,,coe,proof-point,benchmark,benchmark|chat|marketing|proof-point|sales|Marketing,coe,published,,0,0,2025-12-28T15:27:13.314Z
Industry Contacts/Order - Email,benchmark-industry-average-1-5-1-7-contacts-media,Industry average: 1.5-1.7 contacts Median: 1.6 contacts | KPI: Contacts per order | Channel: Email | Zendesk,Industry Contacts per order benchmark for Email,,,,,,coe,proof-point,benchmark,benchmark|email|marketing|proof-point|sales|Marketing,coe,published,,0,0,2025-12-28T15:27:13.314Z
Industry Contacts/Order - Voice,benchmark-industry-average-1-8-2-2-contacts-media,Industry average: 1.8-2.2 contacts Median: 2 contacts | KPI: Contacts per order | Channel: Voice | Twilio,Industry Contacts per order benchmark for Voice,,,,,,coe,proof-point,benchmark,benchmark|marketing|proof-point|sales|voice|Marketing,coe,published,,0,0,2025-12-28T15:27:13.314Z
Industry AHT Benchmark,benchmark-industry-average-12-to-24-hours-median,"Industry average: 12 to 24 hours Median: 18 hours | KPI: Average handle times | For webform. Sources: Surfboard, Nextiva",Industry Average handle times benchmark data,,,,,,coe,proof-point,benchmark,benchmark|marketing|proof-point|sales|Marketing,coe,published,,0,0,2025-12-28T15:27:13.314Z
Industry AHT Benchmark - Email,benchmark-industry-average-24-hours-due-to-async,"Industry average: 24 hours (due to asynchronous nature) Median: 6 to 8 hours | KPI: Average handle times | Channel: Email | Harte Hanks, Zendesk",Industry Average handle times benchmark for Email,,,,,,coe,proof-point,benchmark,benchmark|email|marketing|proof-point|sales|Marketing,coe,published,,0,0,2025-12-28T15:27:13.314Z
Industry AHT Benchmark - SMS,benchmark-industry-average-4-to-6-minutes-per-mes,"Industry average: 4 to 6 minutes per message Median: 5 minutes | KPI: Average handle times | Channel: SMS | For social media & SMS: Twilio, Zendesk",Industry Average handle times benchmark for SMS,,,,,,coe,proof-point,benchmark,benchmark|marketing|proof-point|sales|sms|Marketing,coe,published,,0,0,2025-12-28T15:27:13.314Z
Industry FCR Benchmark - SMS,benchmark-industry-average-50-60-median-55,"Industry average: 50-60% Median: 55% | KPI: First Contact Resolution | Channel: SMS | RingCentral, Twilio",Industry First Contact Resolution benchmark for SM,,,,,,coe,proof-point,benchmark,benchmark|marketing|proof-point|sales|sms|Marketing,coe,published,,0,0,2025-12-28T15:27:13.314Z
Industry AHT Benchmark - Voice,benchmark-industry-average-6-minutes-median-5-4,Industry average: 6 minutes Median: 5.4 minutes AHT | KPI: Average handle times | Channel: Voice | Squaretalk,Industry Average handle times benchmark for Voice,,,,,,coe,proof-point,benchmark,benchmark|marketing|proof-point|sales|voice|Marketing,coe,published,,0,0,2025-12-28T15:27:13.314Z
Industry FCR Benchmark - Email,benchmark-industry-average-60-65-median-64,Industry average: 60-65% Median: 64% | KPI: First Contact Resolution | Channel: Email | Twilio,Industry First Contact Resolution benchmark for Em,,,,,,coe,proof-point,benchmark,benchmark|email|marketing|proof-point|sales|Marketing,coe,published,,0,0,2025-12-28T15:27:13.314Z
Industry FCR Benchmark - Chat,benchmark-industry-average-63-median-64-1,"Industry average: 63% Median: 64.1% | KPI: First Contact Resolution | Channel: Chat | BrightTALK, Twilio",Industry First Contact Resolution benchmark for Ch,,,,,,coe,proof-point,benchmark,benchmark|chat|marketing|proof-point|sales|Marketing,coe,published,,0,0,2025-12-28T15:27:13.314Z
Industry FCR Benchmark - Voice,benchmark-industry-average-70-median-75,Industry average: 70% Median: 75% | KPI: First Contact Resolution | Channel: Voice | Nextiva,Industry First Contact Resolution benchmark for Vo,,,,,,coe,proof-point,benchmark,benchmark|marketing|proof-point|sales|voice|Marketing,coe,published,,0,0,2025-12-28T15:27:13.314Z
Industry AHT Benchmark - Chat,benchmark-industry-average-8-10-minutes-median-9,"Industry average: 8-10 minutes Median: 9 minutes | KPI: Average handle times | Channel: Chat | Surfboard, Twilio",Industry Average handle times benchmark for Chat,,,,,,coe,proof-point,benchmark,benchmark|chat|marketing|proof-point|sales|Marketing,coe,published,,0,0,2025-12-28T15:27:13.314Z
Best Choice Products - 26% reduction in email AHT,metric-best-choice-products-26-reduction-in-email,26% reduction in email AHT | KPI: Average handle times | Channel: Email | Product: Gladly Sidekick,Best Choice Products achieved 26% improvement,https://docs.google.com/presentation/d/1KB9jszRxchvFnDOoipDWHjIjfUU8rcFpd24CmBfwDQw/edit#slide=id.g1f31541aac0_0_165,,,,,coe,proof-point,customer-success-metric,best-choice-products|customer-success-metric|email|gladly-sidekick|proof-point,coe,published,,0,0,2025-12-28T15:27:13.919Z
Best Choice Products - 27% resolution rate on assisted conversations,metric-best-choice-products-27-resolution-rate-on,27% resolution rate on assisted conversations | KPI: Resolution rates | Channel: All written channels | Product: Gladly Sidekick,Best Choice Products achieved 27% improvement,https://docs.google.com/presentation/d/1KB9jszRxchvFnDOoipDWHjIjfUU8rcFpd24CmBfwDQw/edit#slide=id.g1f31541aac0_0_165,,,,,coe,proof-point,customer-success-metric,best-choice-products|customer-success-metric|gladly-sidekick|proof-point,coe,published,,0,0,2025-12-28T15:27:13.919Z
Best Choice Products - 33% of email conversations assisted by Sidekick,metric-best-choice-products-33-of-email-conversat,"33% of email conversations assisted by Sidekick | KPI: Agent + AI assistance, Conversation Volume, Resolution rates | Channel: Email | Product: Gladly Sidekick",Best Choice Products achieved 33% improvement,https://docs.google.com/presentation/d/1KB9jszRxchvFnDOoipDWHjIjfUU8rcFpd24CmBfwDQw/edit#slide=id.g1f31541aac0_0_165,,,,,coe,proof-point,customer-success-metric,best-choice-products|customer-success-metric|email|gladly-sidekick|proof-point,coe,published,,0,0,2025-12-28T15:27:13.919Z
Birdies - 39% of email conversations assisted by Sidekick,metric-birdies-39-of-email-conversations-ass,"39% of email conversations assisted by Sidekick | KPI: Agent + AI assistance, Conversation Volume, Resolution rates | Channel: Email | Product: Gladly Sidekick",Birdies achieved 39% improvement,https://docs.google.com/presentation/d/1KB9jszRxchvFnDOoipDWHjIjfUU8rcFpd24CmBfwDQw/edit#slide=id.g297f21a0b1c_0_332,,,,,coe,proof-point,customer-success-metric,birdies|customer-success-metric|email|gladly-sidekick|proof-point,coe,published,,0,0,2025-12-28T15:27:13.919Z
Birdies - 69% of customers leveraged self-service,metric-birdies-69-of-customers-leveraged-sel,69% of customers leveraged self-service | KPI: Time savings | Channel: self-service | Product: Gladly Hero,Birdies achieved 69% improvement,https://docs.google.com/presentation/d/1KB9jszRxchvFnDOoipDWHjIjfUU8rcFpd24CmBfwDQw/edit?usp=sharing,,,,,coe,proof-point,customer-success-metric,birdies|customer-success-metric|gladly-hero|proof-point,coe,published,,0,0,2025-12-28T15:27:13.739Z
Birdies - 88% First Call Resolution Rate,metric-birdies-88-first-call-resolution-rate,88% First Call Resolution Rate | KPI: Resolution rates | Product: Gladly Hero,Birdies achieved 88% improvement,https://docs.google.com/presentation/d/1KB9jszRxchvFnDOoipDWHjIjfUU8rcFpd24CmBfwDQw/edit?usp=sharing,,,,,coe,proof-point,customer-success-metric,birdies|customer-success-metric|gladly-hero|proof-point,coe,published,,0,0,2025-12-28T15:27:13.739Z
Birkenstock Example,birkenstock-example,"This document is a Gladly Customer Handoff Form for the Birkenstock account. It outlines the customer overview, including Birkenstock's retail industry, primary contact Nathaniel Yordan, and compan...",Meeting resource for target audience,https://docs.google.com/document/d/1iBOiwCrJX2BrTAPRtSklTKqoeu567j0rTB56N2nwINE/edit?tab=t.0#heading=h.2n68j0sv88so,,,,,coe,document,meeting-asset,meeting-asset|sales|implementation|gladly-sidekick|Implementation,coe,published,,0,0,2025-12-28T15:27:13.314Z
Blind case study - 100% of backlog cleared,metric-blind-case-study-100-of-backlog-cleared-1,"100% of backlog cleared | KPI: Backlog, Conversation Volume | Channel: All written channels | Product: Gladly Sidekick",Blind case study achieved 100% improvement,https://docs.google.com/presentation/d/1KB9jszRxchvFnDOoipDWHjIjfUU8rcFpd24CmBfwDQw/edit#slide=id.g248ef7faa19_0_674,,,,,coe,proof-point,customer-success-metric,blind-case-study|customer-success-metric|gladly-sidekick|proof-point,coe,published,,0,0,2025-12-28T15:27:13.919Z
Blind case study - 100% of backlog cleared,metric-blind-case-study-100-of-backlog-cleared,100% of backlog cleared | KPI: Backlog | Channel: All written channels | Product: Gladly Sidekick,Blind case study achieved 100% improvement,https://docs.google.com/presentation/d/1KB9jszRxchvFnDOoipDWHjIjfUU8rcFpd24CmBfwDQw/edit#slide=id.g248ef7faa19_0_168,,,,,coe,proof-point,customer-success-metric,blind-case-study|customer-success-metric|gladly-sidekick|proof-point,coe,published,,0,0,2025-12-28T15:27:13.919Z
Blind case study - 200% improvement in TTFR,metric-blind-case-study-200-improvement-in-ttfr,200% improvement in TTFR | KPI: Time to first response | Channel: All written channels | Product: Gladly Sidekick,Blind case study achieved 200% improvement,https://docs.google.com/presentation/d/1KB9jszRxchvFnDOoipDWHjIjfUU8rcFpd24CmBfwDQw/edit#slide=id.g248ef7faa19_0_337,,,,,coe,proof-point,customer-success-metric,blind-case-study|customer-success-metric|gladly-sidekick|proof-point,coe,published,,0,0,2025-12-28T15:27:13.919Z
Blind case study - 21% of conversations resolved,metric-blind-case-study-21-of-conversations-resol,"21% of conversations resolved | KPI: Conversation Volume, Resolution rates | Channel: All written channels | Product: Gladly Sidekick",Blind case study achieved 21% improvement,https://docs.google.com/presentation/d/1KB9jszRxchvFnDOoipDWHjIjfUU8rcFpd24CmBfwDQw/edit#slide=id.g248ef7faa19_0_337,,,,,coe,proof-point,customer-success-metric,blind-case-study|customer-success-metric|gladly-sidekick|proof-point,coe,published,,0,0,2025-12-28T15:27:13.919Z
Blind case study - 25% of conversations resolved,metric-blind-case-study-25-of-conversations-resol,25% of conversations resolved | KPI: ROI | Channel: All written channels | Product: Gladly Sidekick,Blind case study achieved 25% improvement,https://docs.google.com/presentation/d/1KB9jszRxchvFnDOoipDWHjIjfUU8rcFpd24CmBfwDQw/edit#slide=id.g248ef7faa19_0_674,,,,,coe,proof-point,customer-success-metric,blind-case-study|customer-success-metric|gladly-sidekick|proof-point,coe,published,,0,0,2025-12-28T15:27:13.919Z
Blind case study - 35% of conversations resolved during non-peak season,metric-blind-case-study-35-of-conversations-resol,"35% of conversations resolved during non-peak season | KPI: Resolution rates, Seasonal Peaks | Channel: All written channels | Product: Gladly Sidekick",Blind case study achieved 35% improvement,https://docs.google.com/presentation/d/1KB9jszRxchvFnDOoipDWHjIjfUU8rcFpd24CmBfwDQw/edit#slide=id.g248ef7faa19_0_0,,,,,coe,proof-point,customer-success-metric,blind-case-study|customer-success-metric|gladly-sidekick|proof-point,coe,published,,0,0,2025-12-28T15:27:13.919Z
Blind case study - 39% of email conversations assisted by Sidekick,metric-blind-case-study-39-of-email-conversations,"39% of email conversations assisted by Sidekick | KPI: Agent + AI assistance, Conversation Volume | Channel: Email | Product: Gladly Sidekick",Blind case study achieved 39% improvement,https://docs.google.com/presentation/d/1KB9jszRxchvFnDOoipDWHjIjfUU8rcFpd24CmBfwDQw/edit#slide=id.g2ac1cb13d08_0_170,,,,,coe,proof-point,customer-success-metric,blind-case-study|customer-success-metric|email|gladly-sidekick|proof-point,coe,published,,0,0,2025-12-28T15:27:13.919Z
Blind case study - 433% ROI in 6 months,metric-blind-case-study-433-roi-in-6-months,433% ROI in 6 months | KPI: ROI | Product: Gladly Sidekick,Blind case study achieved 433% improvement,https://docs.google.com/presentation/d/1KB9jszRxchvFnDOoipDWHjIjfUU8rcFpd24CmBfwDQw/edit#slide=id.g248ef7faa19_0_337,,,,,coe,proof-point,customer-success-metric,blind-case-study|customer-success-metric|gladly-sidekick|proof-point,coe,published,,0,0,2025-12-28T15:27:13.919Z
Blind case study - 500% ROI YoY,metric-blind-case-study-500-roi-yoy,500% ROI YoY | KPI: Backlog | Product: Gladly Sidekick,Blind case study achieved 500% improvement,https://docs.google.com/presentation/d/1KB9jszRxchvFnDOoipDWHjIjfUU8rcFpd24CmBfwDQw/edit#slide=id.g248ef7faa19_0_674,,,,,coe,proof-point,customer-success-metric,blind-case-study|customer-success-metric|gladly-sidekick|proof-point,coe,published,,0,0,2025-12-28T15:27:13.919Z
Blind case study - 51% decrease in TTFR,metric-blind-case-study-51-decrease-in-ttfr,"51% decrease in TTFR | KPI: Average handle times, Time to first response | Channel: All written channels | Product: Gladly Sidekick",Blind case study achieved 51% improvement,https://docs.google.com/presentation/d/1KB9jszRxchvFnDOoipDWHjIjfUU8rcFpd24CmBfwDQw/edit#slide=id.g248ef7faa19_0_168,,,,,coe,proof-point,customer-success-metric,blind-case-study|customer-success-metric|gladly-sidekick|proof-point,coe,published,,0,0,2025-12-28T15:27:13.919Z
Blind case study - 51% reduction in annual hiring,metric-blind-case-study-51-reduction-in-annual-hi,51% reduction in annual hiring | KPI: Hiring | Product: Gladly Sidekick,Blind case study achieved 51% improvement,https://docs.google.com/presentation/d/1KB9jszRxchvFnDOoipDWHjIjfUU8rcFpd24CmBfwDQw/edit#slide=id.g248ef7faa19_0_0,,,,,coe,proof-point,customer-success-metric,blind-case-study|customer-success-metric|gladly-sidekick|proof-point,coe,published,,0,0,2025-12-28T15:27:13.919Z
Blind case study - 52% of conversations resolved during peak season,metric-blind-case-study-52-of-conversations-resol,"52% of conversations resolved during peak season | KPI: Resolution rates, Seasonal Peaks | Channel: All written channels | Product: Gladly Sidekick",Blind case study achieved 52% improvement,https://docs.google.com/presentation/d/1KB9jszRxchvFnDOoipDWHjIjfUU8rcFpd24CmBfwDQw/edit#slide=id.g248ef7faa19_0_0,,,,,coe,proof-point,customer-success-metric,blind-case-study|customer-success-metric|gladly-sidekick|proof-point,coe,published,,0,0,2025-12-28T15:27:13.919Z
Blind case study - 60% of email conversations resolved,metric-blind-case-study-60-of-email-conversations,"60% of email conversations resolved | KPI: Conversation Volume, Resolution rates | Channel: Email | Product: Gladly Sidekick",Blind case study achieved 60% improvement,https://docs.google.com/presentation/d/1KB9jszRxchvFnDOoipDWHjIjfUU8rcFpd24CmBfwDQw/edit#slide=id.g2ac1cb13d08_0_170,,,,,coe,proof-point,customer-success-metric,blind-case-study|customer-success-metric|email|gladly-sidekick|proof-point,coe,published,,0,0,2025-12-28T15:27:13.919Z
